Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7535.0,7535.0,5611864702,SetA_11x5S15-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,7863.0,7439.0,10891756,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,7528.0,7439.0,19666734,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,7484.0,7439.0,44290404,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,7471.0,7439.0,117499258,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,7478.0,7439.0,267233799,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,7465.0,7439.0,857926372,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7471.0,7439.0,6051962120,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,7708.0,7439.0,11806178,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,7685.0,7439.0,22526311,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,7531.0,7439.0,40120582,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,7470.0,7439.0,96928210,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,7478.0,7439.0,232911789,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,7470.0,7439.0,808338862,SetA_11x5S20-Solution
SetA_11x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7445.0,7439.0,6220936724,SetA_11x5S20-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1,7745.0,7420.0,12582625,SetA_11x5S30-Solution
SetA_11x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10,7514.0,7420.0,20110788,SetA_11x5S30-Solution
